LATITUDE,LONGITUDE,County,ELEVATION,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMIN,vpdmin (hPa),vpdmax (hPa)
43.54914,-71.46456,Belknap,152.4,1/2/00,,0,0,0,27.4,19.5,0.39,4.305
43.54914,-71.46456,Belknap,152.4,1/9/00,,0.102857143,0,0,30.07142857,21.85714286,0.565714286,3.33
43.54914,-71.46456,Belknap,152.4,1/16/00,,0.167142857,0.05,0,22.74285714,15.42857143,0.688571429,3.197142857
43.54914,-71.46456,Belknap,152.4,1/23/00,,0.047142857,0.833333333,3,4.528571429,-5.285714286,0.382857143,1.655714286
43.54914,-71.46456,Belknap,152.4,1/30/00,,0.158571429,1.333333333,6,15.1,7.857142857,0.577142857,2.331428571
43.54914,-71.46456,Belknap,152.4,2/6/00,,0.07,0.714285714,8.142857143,20.44285714,10.57142857,0.471428571,3.742857143
43.54914,-71.46456,Belknap,152.4,2/13/00,,0.042857143,0.428571429,7.285714286,19.55714286,7.142857143,0.455714286,3.25
43.54914,-71.46456,Belknap,152.4,2/20/00,,0.321428571,2.428571429,13.6,19.91428571,10.85714286,0.198571429,2.437142857
43.54914,-71.46456,Belknap,152.4,2/27/00,,0.105714286,0.042857143,13,32.17142857,23.14285714,0.2,4.317142857
43.54914,-71.46456,Belknap,152.4,3/5/00,,0.032857143,0,4,36.52857143,28.57142857,0.688571429,4.507142857
43.54914,-71.46456,Belknap,152.4,3/12/00,,0.195714286,1,2,37.21428571,27.85714286,0.9,6.684285714
43.54914,-71.46456,Belknap,152.4,3/19/00,,0.165714286,0.785714286,3.428571429,30.47142857,19.28571429,0.384285714,5.697142857
43.54914,-71.46456,Belknap,152.4,3/26/00,,0.011428571,0,0.428571429,39.01428571,25.42857143,0.381428571,9.72
43.54914,-71.46456,Belknap,152.4,4/2/00,,0.218571429,0,0,43.32857143,33.42857143,0.662857143,8.344285714
43.54914,-71.46456,Belknap,152.4,4/9/00,,0.338571429,0,0,44.77142857,37.42857143,0.637142857,6.48
43.54914,-71.46456,Belknap,152.4,4/16/00,,0.06,0,0,42.02857143,30.85714286,0.751428571,9.468571429
43.54914,-71.46456,Belknap,152.4,4/23/00,,0.232857143,0,0,43.45714286,36,0.872857143,6.298571429
43.54914,-71.46456,Belknap,152.4,4/30/00,,0.141428571,0,0,42.24285714,34.42857143,0.594285714,6.791428571
43.54914,-71.46456,Belknap,152.4,5/7/00,,0.034285714,0,0,53.47142857,39.42857143,0.917142857,16.71714286
43.54914,-71.46456,Belknap,152.4,5/14/00,,0.261428571,0,0,57.21428571,47.28571429,0.838571429,12.09714286
43.54914,-71.46456,Belknap,152.4,5/21/00,,0.08,0,0,51.62857143,40.71428571,0.954285714,12.25285714
