,STATION,LATITUDE,LONGITUDE,County,ELEVATION,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,vpdmin (hPa),vpdmax (hPa)
0,USC00270913,43.25886,-72.0021,Merrimack,248.4,1998-07-31,160.14,2.8,0.0,0.0,2156.1,2509.3,1802.9,19.77,627.19
1,USC00270913,43.25886,-72.0021,Merrimack,248.4,1998-08-31,121.92,2.32,0.0,0.0,2132.3,2496.7,1768.1,9.46,581.58
2,USC00270913,43.25886,-72.0021,Merrimack,248.4,1998-09-30,144.09,2.12,0.0,0.0,1831.9,2204.4,1459.6,7.97,457.57
3,USC00270913,43.25886,-72.0021,Merrimack,248.4,1998-10-31,218.35,4.32,0.0,0.0,1509.9,1838.4,1181.8,16.38,280.63
4,USC00270913,43.25886,-72.0021,Merrimack,248.4,1998-11-30,201.10999999999999,3.34,0.0,0.0,1154.5,1402.3,906.6,23.400000000000002,170.9
5,USC00270913,43.25886,-72.0021,Merrimack,248.4,1998-12-31,169.1,1.51,6.5,15.0,996.3,1342.3,650.8,11.49,160.94
6,USC00270913,43.25886,-72.0021,Merrimack,248.4,1999-01-31,168.24,6.96,20.0,174.0,619.9,965.5,274.6,6.64,78.72
7,USC00270913,43.25886,-72.0021,Merrimack,248.4,1999-02-28,187.69,2.11,4.5,103.0,722.4,1039.3,405.7,11.77,127.31
8,USC00270913,43.25886,-72.0021,Merrimack,248.4,1999-03-31,303.59,5.49,12.5,117.0,1028.5,1330.0,726.8,18.58,177.45
9,USC00270913,43.25886,-72.0021,Merrimack,248.4,1999-04-30,215.65,0.7000000000000001,0.0,0.0,1340.3,1710.8,970.2,30.51,336.66
10,USC00270913,43.25886,-72.0021,Merrimack,248.4,1999-05-31,174.48,3.18,0.0,0.0,1756.9,2154.3,1359.3,16.53,475.87
11,USC00270913,43.25886,-72.0021,Merrimack,248.4,1999-06-30,169.33,2.16,0.0,0.0,2043.7,2437.4,1649.6,29.81,681.02
12,USC00270913,43.25886,-72.0021,Merrimack,248.4,1999-07-31,144.72,4.07,0.0,0.0,2221.0,2596.7,1845.7,19.28,683.9300000000001
13,USC00270913,43.25886,-72.0021,Merrimack,248.4,1999-08-31,131.75,3.13,0.0,0.0,2074.3,2432.4,1715.8,11.19,559.7
14,USC00270913,43.25886,-72.0021,Merrimack,248.4,1999-09-30,153.93,10.190000000000001,0.0,0.0,1896.1,2222.7,1569.6,5.54,441.51
15,USC00270913,43.25886,-72.0021,Merrimack,248.4,1999-10-31,166.42000000000002,3.52,0.0,0.0,1405.8,1789.2,1022.3,7.6,280.79
16,USC00270913,43.25886,-72.0021,Merrimack,248.4,1999-11-30,210.68,2.84,0.0,0.0,1271.4,1583.8,959.2,18.83,215.27
17,USC00270913,43.25886,-72.0021,Merrimack,248.4,1999-12-31,197.94,1.9,1.0,2.0,893.7,1155.2,632.3,15.4,109.27
18,USC00270913,43.25886,-72.0021,Merrimack,248.4,2000-01-31,272.45,3.79,15.5,54.0,573.3,880.9,265.6,11.84,95.89
19,USC00270913,43.25886,-72.0021,Merrimack,248.4,2000-02-29,199.09,3.74,13.8,260.0,700.7,1006.9,394.0,7.640000000000001,100.66
20,USC00270913,43.25886,-72.0021,Merrimack,248.4,2000-03-31,210.93,4.4399999999999995,14.5,46.0,1146.2,1493.1,798.8,13.38,228.47
21,USC00270913,43.25886,-72.0021,Merrimack,248.4,2000-04-30,225.24,6.49,0.0,0.0,1300.3,1583.0,1017.5,11.67,231.52
22,USC00270913,43.25886,-72.0021,Merrimack,248.4,2000-05-31,181.18,3.6,0.0,0.0,1680.2,2029.1,1330.7,17.9,393.96
23,USC00270913,43.25886,-72.0021,Merrimack,248.4,2000-06-30,157.93,4.1,0.0,0.0,1906.1,2245.0,1567.6,11.44,484.52
24,USC00270913,43.25886,-72.0021,Merrimack,248.4,2000-07-31,158.84,5.1899999999999995,0.0,0.0,2044.9,2378.5,1711.2,14.09,507.22999999999996
25,USC00270913,43.25886,-72.0021,Merrimack,248.4,2000-08-31,122.37,2.22,0.0,0.0,2026.0,2354.5,1698.2,2.27,444.26
26,USC00270913,43.25886,-72.0021,Merrimack,248.4,2000-09-30,128.66,2.79,0.0,0.0,1749.5,2109.4,1388.9,6.19,378.23
27,USC00270913,43.25886,-72.0021,Merrimack,248.4,2000-10-31,149.68,2.91,1.0,0.0,1478.5,1853.0,1104.0,7.95,315.75
28,USC00270913,43.25886,-72.0021,Merrimack,248.4,2000-11-30,144.26,3.82,0.5,1.0,1131.3,1379.0,884.4,10.62,146.42
